run_uid,campaign_id,variant_id,test_run_id,run_dir,recorded_verdict,lineage_verdict,latest_ledger_verdict,disposition,review_type,review_queue_csv,reason,manual_action
c3a16d45-46c2-4cf5-895b-16df7ddcce68,es_amihud_illiquidity_price_impact,high_1d_illiq_premium_long_1000,run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
cf32afb4-6d4d-4874-9b72-378e6b65bdea,es_amihud_illiquidity_price_impact,high_1d_illiq_premium_long_1000,rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_premium_long_1000/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
5058051b-210d-4c6b-9512-a645e1fd0a35,es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
9f137e1f-5fde-43f3-8760-317478f6c65a,es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
cbf2911c-fc5b-489d-9e23-61f1669017e2,es_amihud_illiquidity_price_impact,high_1d_illiq_stress_short_1030,stop_widen_rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_1d_illiq_stress_short_1030/ES/stop_widen_rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
b4c076d0-10c5-4e9c-8a59-76bf1581d846,es_amihud_illiquidity_price_impact,high_20d_illiq_premium_long_1200,rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
c2cddbac-c96b-4aed-a10f-9ba41163c857,es_amihud_illiquidity_price_impact,high_20d_illiq_premium_long_1200,run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_20d_illiq_premium_long_1200/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
5010d553-f036-4432-8b93-a7e2652c8712,es_amihud_illiquidity_price_impact,high_5d_illiq_premium_long_1130,run1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
95f259d9-e1d6-4fa1-83b8-de80b31a0348,es_amihud_illiquidity_price_impact,high_5d_illiq_premium_long_1130,rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
76a5967a-4859-405b-8b0c-31c5dcbfc8aa,es_amihud_illiquidity_price_impact,two_sided_5d_illiq_state_1330,run1,backtest-campaigns/es_amihud_illiquidity_price_impact/two_sided_5d_illiq_state_1330/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
7938b1e2-c87d-46b0-a53c-cdffbec4bce7,es_amihud_illiquidity_price_impact,two_sided_5d_illiq_state_1330,rescue1,backtest-campaigns/es_amihud_illiquidity_price_impact/two_sided_5d_illiq_state_1330/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
a55e068c-2ec9-4d22-8e81-e3551f732781,es_aoi_vap_acceptance_retest,combined_market_aoi_vap_acceptance_1530,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/combined_market_aoi_vap_acceptance_1530/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
fad7f30c-254f-4cb2-9530-466e2cd10e4d,es_aoi_vap_acceptance_retest,opening_range_vap_acceptance_day_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/opening_range_vap_acceptance_day_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
9a6ffcce-2159-492d-8855-b9fa896ef40b,es_aoi_vap_acceptance_retest,opening_range_vap_acceptance_morning_1130,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/opening_range_vap_acceptance_morning_1130/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
31dc5931-e39a-4c8f-a847-344db11db554,es_aoi_vap_acceptance_retest,overnight_high_vap_acceptance_long_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/overnight_high_vap_acceptance_long_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
9829e950-cecc-4d9b-998e-4949af2267fd,es_aoi_vap_acceptance_retest,overnight_low_vap_acceptance_short_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/overnight_low_vap_acceptance_short_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
a4b1ff81-f023-46ee-9079-35e51652bc4d,es_aoi_vap_acceptance_retest,prior_extreme_vap_acceptance_two_sided_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/prior_extreme_vap_acceptance_two_sided_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
3b880083-634a-45c9-bf9e-afd2e698078a,es_aoi_vap_acceptance_retest,prior_high_vap_acceptance_long_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/prior_high_vap_acceptance_long_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
de784f28-5aca-4772-a245-9e66a3b3f217,es_aoi_vap_acceptance_retest,prior_low_vap_acceptance_short_1500,run1,backtest-campaigns/es_aoi_vap_acceptance_retest/prior_low_vap_acceptance_short_1500/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
abe9a412-66ff-4bd5-89ae-7a4d535ea1ce,es_aqr_bab_factor_state,bab_63d_extreme_two_sided_1330,rescue1,backtest-campaigns/es_aqr_bab_factor_state/bab_63d_extreme_two_sided_1330/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
eb96c1f1-0996-49e4-89f5-88fbcf0926c1,es_aqr_bab_factor_state,bab_63d_extreme_two_sided_1330,run1,backtest-campaigns/es_aqr_bab_factor_state/bab_63d_extreme_two_sided_1330/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
04f548d0-8dab-45c0-94ac-68b6b6f93683,es_aqr_bab_factor_state,low_bab_21d_rebound_long_1000,run1,backtest-campaigns/es_aqr_bab_factor_state/low_bab_21d_rebound_long_1000/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
aa768da2-7cc6-4e2d-aee3-42e11edbf8f5,es_aqr_bab_factor_state,low_bab_21d_rebound_long_1000,rescue1,backtest-campaigns/es_aqr_bab_factor_state/low_bab_21d_rebound_long_1000/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
5cdb0b01-fd85-43e0-8f35-7a0fc0a1dcee,es_aqr_bab_factor_state,low_bab_63d_rebound_long_1030,rescue1,backtest-campaigns/es_aqr_bab_factor_state/low_bab_63d_rebound_long_1030/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
da73dc43-c4d6-42b6-860e-bd3c86fb65f5,es_aqr_bab_factor_state,low_bab_63d_rebound_long_1030,run1,backtest-campaigns/es_aqr_bab_factor_state/low_bab_63d_rebound_long_1030/ES/run1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
10a5d630-cc22-4a38-93fd-289004ede05b,es_aqr_bab_factor_state,low_bab_daily_rebound_long_0935,rescue1,backtest-campaigns/es_aqr_bab_factor_state/low_bab_daily_rebound_long_0935/ES/rescue1,FAIL,NEEDS MANUAL REVIEW,FAIL,RETAIN_REJECTED_HISTORICAL_RUN,,,The durable ledger or terminal run summary records rejection; missing modern validation is not a reason to retest it.,
