campaign_id,title,edge_family,definition_path,authored_status,authored_decision,governance_contract_version,lifecycle_state,lifecycle_reason,variant_count,attempt_count,run_count,latest_updated_at
es_amihud_illiquidity_price_impact,,,research/campaigns/archive/es_amihud_illiquidity_price_impact/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,13,0,
es_aoi_vap_acceptance_retest,ES AOI VAP acceptance retest continuation,,research/campaigns/archive/es_aoi_vap_acceptance_retest/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,8,8,0,
es_aqr_bab_factor_state,,,research/campaigns/archive/es_aqr_bab_factor_state/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,13,0,
es_archive_morning_orderflow_hold_retest,ES archived morning orderflow hold retest,archive_opening_window_orderflow_continuation_late_hold,research/campaigns/archive/es_archive_morning_orderflow_hold_retest/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,5,0,
es_bankruptcy_distress_regime_reversion,ES Bankruptcy Distress Regime Reversion,,research/campaigns/archive/es_bankruptcy_distress_regime_reversion/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,18,0,
es_bls_macro_release_day_drift,,,research/campaigns/archive/es_bls_macro_release_day_drift/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,15,0,
es_cboe_implied_correlation_intraday,ES Cboe Implied Correlation Intraday,,research/campaigns/archive/es_cboe_implied_correlation_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,17,0,
es_cboe_put_call_sentiment_intraday,ES Cboe Put/Call Sentiment Intraday,,research/campaigns/archive/es_cboe_put_call_sentiment_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,13,0,
es_cboe_skew_tail_risk_intraday,ES Cboe SKEW Tail Risk Intraday,,research/campaigns/archive/es_cboe_skew_tail_risk_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,15,0,
es_cboe_vix_level_state_intraday,ES Cboe VIX Level State Intraday,,research/campaigns/archive/es_cboe_vix_level_state_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,15,0,
es_cboe_vix_term_structure_intraday,ES Cboe VIX Term Structure Intraday,,research/campaigns/archive/es_cboe_vix_term_structure_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,16,0,
es_cboe_vxn_vix_dispersion_intraday,ES Cboe VXN/VIX Dispersion Intraday,,research/campaigns/archive/es_cboe_vxn_vix_dispersion_intraday/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,15,0,
es_cftc_tff_hedging_pressure,ES CFTC TFF Hedging Pressure,,research/campaigns/archive/es_cftc_tff_hedging_pressure/campaign.yaml,,,0,review_queue,historical terminal verdicts are soft-archived because mechanics were not manually reviewed,5,20,0,
